source,published_at,provider,publisher_location,url,id,war_related,type_risk,negativity,risk_order,llm_confidence,IO_V1_1,IO_V1_2,IO_V1_3,IO_V1_4,IO_V1_5,IO_V1_6,IO_V1_7,IO_V1_8,IO_V1_9,IO_V1_10,IO_V1_11,IO_V1_12,IO_V1_13,IO_V1_14,IO_V1_15,IO_V1_16,IO_V1_17,IO_V1_18,IO_V1_19,IO_V1_20,IO_V1_21,IO_V1_22,IO_V1_23,IO_V1_24,IO_V1_25,IO_V1_26,IO_V1_27,IO_V1_28,IO_V1_29,IO_V1_30,IO_V1_31,IO_V1_32,IO_V1_33,IO_V1_34,IO_V1_35,IO_V1_36,IO_V1_37,IO_V1_38,IO_V1_39,IO_V1_40,IO_V1_41,IO_V1_42,IO_V1_43,IO_V1_44,IO_V1_45,IO_V1_46,IO_V1_47,IO_V1_48,IO_V1_49,IO_V1_50
gdelt,01/01/2026 06:15,etelaabama.ir,Iran,https://www.etelaabama.ir/%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%87%D9%86%D9%88%D8%B2-%D8%AE%D8%A7%D8%B1%D8%AC%DB%8C%D9%85%D8%AD%D9%88%D8%B1-%D8%A7%D8%B3%D8%AA%D8%9B-%D9%81%D8%A7/252333/,bc3798d420c7fa5a,1,Military,0,,0.95,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 06:15,etelaabama.ir,Iran,https://www.etelaabama.ir/%D9%88%D9%82%D8%AA%DB%8C-%D9%85%D8%B3%D8%A6%D9%88%D9%84%DB%8C%D8%AA%D9%BE%D8%B0%DB%8C%D8%B1%DB%8C-%D8%B3%DB%8C%D8%A7%D8%B3%D8%AA-%D9%85%DB%8C%D8%B4%D9%88%D8%AF%D8%9B-%D8%A2%D8%B2/252326/,52710dfacaa18be1,1,Military,0,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 06:30,bbc.com,UK,https://www.bbc.com/persian/articles/crler9pe6n7o,b889354a7df9b595,1,Military,0,first_order,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1072464,0.0,0.0,0.0,0.1118091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02752905,0.0,0.40862918,0.0,0.08409053,0.0,0.26069575,0.0,0.0,0.0
gdelt,01/01/2026 06:30,etelaabama.ir,Iran,https://www.etelaabama.ir/%D9%81%DB%8C%D9%84%D9%85%D9%87%D8%A7%DB%8C-%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A7%DB%8C%D9%86-%DB%B3-%D8%B1%D9%88%D8%B2/252313/,ea7bb6fa803d2964,1,Military,0,,0.95,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 06:45,mehrnews.com,Iran,https://www.mehrnews.com/news/6709291/%D8%A7%D9%88%D9%84%DB%8C%D9%86-%DA%A9%D9%86%DA%AF%D8%B1%D9%87-%D8%AD%D8%B2%D8%A8-%D8%B9%D9%87%D8%AF-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%A8%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1-%D8%B4%D8%AF,7e60c968d56bdcf1,1,Military,0,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 06:45,mdeast.news,,https://mdeast.news/%D9%86%D8%A7%D9%85%D9%87-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%A8%D9%87-%DA%AF%D8%B1%D9%88%D8%B3%DB%8C-%D8%AF%D8%B1-%D9%BE%DB%8C-%D8%AA%D9%87%D8%AF%DB%8C%D8%AF%D8%A7%D8%AA-%D8%A7%D9%85%D8%B1%DB%8C%DA%A9/,ca52701dda7cd091,1,Nuclear,0.477,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3453621,0.0,0.40444428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11755932,0.0,0.0,0.1326343,0.0,0.0,0.0
gdelt,01/01/2026 07:30,ipna.ir,Iran,https://www.ipna.ir/%D8%AF%D8%B1%D8%AE%D9%88%D8%A7%D8%B3%D8%AA-%D8%B3%D8%B1%D9%85%D8%B1%D8%A8%DB%8C-%D8%A7%D8%B3%D9%BE%D8%A7%D9%86%DB%8C%D8%A7-%D8%A7%D8%B2-%D8%B3%D8%AA%D8%A7%D8%B1%D9%87-%D8%A2%D8%B1%DA%98%D8%A7%D9%86/,16b974d2dd368905,1,Military,0,,0.95,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 08:00,negaheiraniannews.ir,Iran,https://negaheiraniannews.ir/%DA%86%D8%B1%D8%A7-%D9%82%D8%B7%D8%A7%D8%B1-%D8%A7%D9%86%D8%B1%DA%98%DB%8C%D9%87%D8%A7%DB%8C-%D9%BE%D8%A7%DA%A9-%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%85%D8%AA%D9%88%D9%82%D9%81-%D8%B4%D8%AF%D9%87-%D8%A7%D8%B3%D8%AA,e83be5e334760b6e,1,Economic,0.016,first_order,0.95,0.0,0.0,0.0,0.0,0.20950691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23755558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05977014,0.0,0.0,0.10700626,0.18257453,0.0,0.20358659,0.0,0.0,0.0
gdelt,01/01/2026 08:00,negaheiraniannews.ir,Iran,https://negaheiraniannews.ir/%D9%88%D9%86%D8%B2%D9%88%D8%A6%D9%84%D8%A7-%D8%AF%D9%88%D8%A8%D8%A7%D8%B1%D9%87-%D8%AA%D8%AD%D8%B1%DB%8C%D9%85-%D8%B4%D8%AF,5b99a3c1b04a384e,1,Economic,0.248,first_order,0.95,0.0,0.0,0.11053021,0.0,0.0,0.0,0.0,0.0,0.0392724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08594633,0.15138431,0.29662898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10471674,0.0,0.0,0.01711959,0.11215024,0.0,0.0,0.0,0.0822512,0.0
gdelt,01/01/2026 08:30,khabaronline.ir,Iran,https://www.khabaronline.ir/news/2164122/%D9%88%D9%82%D8%AA%DB%8C-%D8%AF%D9%84%D8%A7%D8%B1-%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%B1%D8%A7-%D8%B9%D9%88%D8%B6-%D9%85%DB%8C-%DA%A9%D9%86%D8%AF,c1e43243dbabdd14,1,Economic,0.016,first_order,0.95,0.16374523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15975257,0.0,0.0,0.0,0.0,0.23938191,0.04550072,0.0,0.0,0.0,0.10748946,0.0,0.28413011
gdelt,01/01/2026 08:45,ipna.ir,Iran,https://www.ipna.ir/%D8%AF%D8%B9%D9%88%D8%AA-%D8%A7%D8%B2-%DB%B3%DB%B3-%D9%81%D8%B1%D9%86%DA%AF%DB%8C%DA%A9%D8%A7%D8%B1-%D8%A8%D9%87-%D8%A7%D8%B1%D8%AF%D9%88%DB%8C-%D8%AA%DB%8C%D9%85-%D9%85%D9%84%DB%8C-%DA%A9/,4bdbb2b21daa19ea,1,Maritime,0,,0.95,0.1627417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09927959,0.07775162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04342977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28203577,0.0,0.0,0.25440019,0.0,0.04547183,0.0,0.0,0.0,0.03488951,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 08:45,mdeast.news,,https://mdeast.news/%D8%B1%D8%B3%D8%A7%D9%86%D9%87%D9%87%D8%A7%DB%8C-%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%DB%8C%D9%84%DB%8C-%D9%85%D8%AF%D8%B9%DB%8C-%D8%A2%D9%85%D8%A7%D8%AF%DA%AF%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A8/,c14f689010f8daba,1,Humanitarian,0.041,first_order,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 09:15,parsi.euronews.com,,https://parsi.euronews.com/2026/01/01/iran-brief-news-shooting-reported-in-kuhdasht-amid-expanding-protests-nationwide,e219ceffba6c1d15,1,Cyber,0.275,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31022492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10549743,0.0,0.0,0.0,0.32225363,0.0,0.26202402,0.0,0.0,0.0
gdelt,01/01/2026 09:15,parsi.euronews.com,,https://parsi.euronews.com/culture/2026/01/01/houshang-golmakani-to-euronews-bayzais-resistance-is-unique-in-the-history-of-iran-cinema,649314259ee48e44,1,Nuclear,0.049,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17553641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29214708,0.0,0.0,0.0,0.45323251,0.079084,0.0,0.0
gdelt,01/01/2026 09:15,kiyanonline.ir,Iran,https://kiyanonline.ir/%D8%A7%D9%88%D9%84%DB%8C%D9%86-%D8%B3%DB%8C%DA%AF%D9%86%D8%A7%D9%84-%D9%87%D9%85%D8%AA%DB%8C-%D8%A8%D9%87-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1/,c06134610ca9be6f,1,Economic,0.051,second_order,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08140352,0.0,0.0,0.0901491,0.13097536,0.0,0.0,0.0,0.07641995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19425196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05242115,0.0,0.0,0.0,0.0,0.0,0.05007622,0.32430275
gdelt,01/01/2026 09:30,ipna.ir,Iran,https://www.ipna.ir/%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D8%B2%D9%85%D8%A7%D9%86-%D8%AF%DB%8C%D8%AF%D8%A7%D8%B1-%D8%B3%D9%BE%D8%A7%D9%87%D8%A7%D9%86-%D9%88-%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84-%D8%AF%D8%B1-%D9%86%D9%82/,a63335d3a648d284,1,Military,0.49,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25382314,0.0,0.0,0.0,0.74617686,0.0,0.0
gdelt,01/01/2026 10:00,news.gooya.com,,https://news.gooya.com/2026/01/post-104955.php,98f5f4b5142155f8,1,Military,0.246,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21802375,0.14501697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26829566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16851159,0.108131,0.0,0.09202102,0.0,0.0,0.0
gdelt,01/01/2026 10:00,news.gooya.com,,https://news.gooya.com/2026/01/post-104957.php,9f7381da0f7f2b12,1,Economic,0.125,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10768469,0.0,0.0,0.0,0.0,0.0,0.36586087,0.26587744,0.260577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 10:00,news.gooya.com,,https://news.gooya.com/2026/01/post-104956.php,5ac15c20dd617ed6,1,Economic,0.307,second_order,0.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 10:00,mehrnews.com,Iran,https://www.mehrnews.com/news/6709403/%D9%85%D8%B5%D8%B1%D9%81-%DA%AF%D8%A7%D8%B2-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D8%A8%D9%87-%DB%B6%DB%B9%DB%B0-%D9%85%DB%8C%D9%84%DB%8C%D9%88%D9%86-%D9%85%D8%AA%D8%B1%D9%85%DA%A9%D8%B9%D8%A8-%D8%B1%D8%B3%DB%8C%D8%AF,97342bdcd3f7d06e,1,Economic,0,second_order,0.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 10:00,mehrnews.com,Iran,https://www.mehrnews.com/news/6709461/%D8%B3%D8%A7%D9%85%DB%8C-%D9%81%DB%8C%D9%84%D9%85%DB%8C-%D9%85%D8%AA%D9%81%D8%A7%D9%88%D8%AA-%D8%AF%D8%B1-%D9%86%DA%AF%D8%A7%D9%87-%D8%A8%D9%87-%D8%AC%D9%86%DA%AF,0322a30115ee7ebd,1,Military,0.197,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71113389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28886611,0.0,0.0,0.0
gdelt,01/01/2026 10:00,kiyanonline.ir,Iran,https://kiyanonline.ir/%D8%B3%D8%A8%D8%AF-%D8%AD%D9%85%D8%A7%DB%8C%D8%AA%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AF%D9%87%DA%A9-%D8%A7%D9%88%D9%84-%D8%AA%D8%A7-%D9%87%D9%81%D8%AA%D9%85/,33fd04f60fc4d334,1,Economic,0.049,second_order,0.85,0.06104314,0.0,0.0,0.0,0.0,0.0,0.0,0.0680132,0.0,0.0,0.0,0.0,0.0,0.0,0.09238574,0.0,0.0,0.10231119,0.14864535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08369569,0.0,0.0,0.0595547,0.0,0.0,0.0,0.0,0.0,0.09725824,0.0,0.0,0.0,0.0,0.11366408,0.17342868
gdelt,01/01/2026 10:30,parsi.euronews.com,,https://parsi.euronews.com/2026/01/01/israel-on-high-alert-amid-internal-unrest-in-iran,484ca5bc112d0627,1,Military,0.31,,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13099634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23522179,0.0,0.2431907,0.0,0.0,0.0,0.0,0.0,0.39059117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 10:30,etelaabama.ir,Iran,https://www.etelaabama.ir/%D9%81%DB%8C%D9%84%D8%AA%D8%B1%DB%8C%D9%86%DA%AF%D8%9B-%D9%85%D8%A7%D9%84%DB%8C%D8%A7%D8%AA-%D9%BE%D9%86%D9%87%D8%A7%D9%86%DB%8C-%DA%A9%D9%87-%D9%87%D8%B1-%D9%85%D8%A7%D9%87-%D8%A7%D8%B2-%D8%AC%DB%8C/252404/,41002f601612e889,1,Military,0,second_order,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
